,id,centroid,geometry,area_km2,centroid_is_inside_region
12,2_0,"(8.855531754804447, 38.75064679696677)","POLYGON ((38.74680220011948 8.877588526736014, 38.7728594807324 8.877605932666075, 38.77287183780536 8.857466600155336, 38.7565 8.853199999999999, 38.7541 8.858599999999999, 38.7455 8.863400000000002, 38.7452 8.869500000000002, 38.7473 8.877199999999998, 38.74680220011948 8.877588526736014))",6.731135465957739,False
18,3_0,"(8.855558735117963, 38.795099305927884)","POLYGON ((38.77287183780536 8.857466600155336, 38.7728594807324 8.877605932666075, 38.81731470919699 8.877630334352466, 38.81733361340543 8.839323294123242, 38.8125 8.84, 38.7976 8.833500000000003, 38.792 8.835800000000001, 38.7806 8.835899999999999, 38.7784 8.841800000000001, 38.7775 8.852399999999999, 38.773 8.857500000000002, 38.77287183780536 8.857466600155336))",20.985916070401018,True
24,4_0,"(8.85558043500814, 38.83955194194137)","POLYGON ((38.81733361340543 8.839323294123242, 38.81731470919699 8.877630334352466, 38.82676518003005 8.877634396369837, 38.8294 8.8688, 38.8239 8.8528, 38.8244 8.8413, 38.8175 8.8393, 38.81733361340543 8.839323294123242))",4.011427445615387,False
30,5_0,"(8.855596854410225, 38.88400467744391)","POLYGON ((38.8663980491354 8.877650880318276, 38.86935602300268 8.877651799473586, 38.8687 8.872999999999999, 38.8663980491354 8.877650880318276))",0.08362782092835094,False
7,1_1,"(8.899619288594538, 38.70615933359348)","POLYGON ((38.70733865076853 8.921679428341859, 38.7283718561157 8.921696064493137, 38.7283816561607 8.90840731833781, 38.7191 8.919700000000001, 38.7084 8.9209, 38.70733865076853 8.921679428341859))",1.0460897928343762,False
13,2_1,"(8.89965171248583, 38.75061699973811)","POLYGON ((38.7283816561607 8.90840731833781, 38.7283718561157 8.921696064493137, 38.77283226928161 8.92172590981612, 38.7728594807324 8.877605932666075, 38.74680220011948 8.877588526736014, 38.7432 8.880400000000002, 38.7445 8.892099999999999, 38.7436 8.9026, 38.7365 8.901299999999999, 38.7311 8.905099999999999, 38.7283816561607 8.90840731833781))",18.957082400176226,True
19,3_1,"(8.899678829316429, 38.79507482058822)","POLYGON ((38.81731470919699 8.877630334352466, 38.7728594807324 8.877605932666075, 38.77283226928161 8.92172590981612, 38.81729282340483 8.921750434674623, 38.81731470919699 8.877630334352466))",23.84223789808422,True
25,4_1,"(8.899700639005408, 38.83953276856483)","POLYGON ((38.82676518003005 8.877634396369837, 38.81731470919699 8.877630334352466, 38.81729282340483 8.921750434674623, 38.86175349089809 8.921769638995453, 38.86176798135367 8.883163409824526, 38.8584 8.883599999999996, 38.8471 8.879999999999999, 38.84070000000001 8.879899999999999, 38.833 8.882899999999999, 38.826 8.880199999999997, 38.82676518003005 8.877634396369837))",22.184255559089028,True
31,5_1,"(8.899717141487672, 38.88399081608857)","POLYGON ((38.86176798135367 8.883163409824526, 38.86175349089809 8.921769638995453, 38.87475174231204 8.921773697949602, 38.8794 8.918299999999999, 38.8733 8.905099999999997, 38.8775 8.895799999999999, 38.8698 8.880799999999997, 38.86935602300268 8.877651799473586, 38.8663980491354 8.877650880318276, 38.8638 8.882899999999999, 38.86176798135367 8.883163409824526))",6.779568604023239,False
2,0_2,"(8.943701057751507, 38.6616612200191)","POLYGON ((38.64343002978053 8.965743435713222, 38.68387355367005 8.965780444727843, 38.68389538835239 8.940468007713241, 38.6806 8.9411, 38.681 8.9497, 38.6762 8.957599999999999, 38.64343002978053 8.965743435713222))",3.233691904503364,False
8,1_2,"(8.943738978602658, 38.70612404303603)","POLYGON ((38.68389538835239 8.940468007713241, 38.68387355367005 8.965780444727843, 38.72833915124168 8.965815787080832, 38.7283718561157 8.921696064493137, 38.70733865076853 8.921679428341859, 38.702 8.925600000000001, 38.6968 8.932700000000002, 38.6938 8.941900000000002, 38.6879 8.939699999999998, 38.68389538835239 8.940468007713241))",20.405752551404735,True
14,2_2,"(8.943771565766381, 38.750587048443826)","POLYGON ((38.77283226928161 8.92172590981612, 38.7283718561157 8.921696064493137, 38.72833915124168 8.965815787080832, 38.77280491745652 8.965845782331584, 38.77283226928161 8.92172590981612))",23.84223789808223,True
20,3_2,"(8.943798819145417, 38.795050208647844)","POLYGON ((38.81729282340483 8.921750434674623, 38.77283226928161 8.92172590981612, 38.77280491745652 8.965845782331584, 38.81727082471154 8.965870430390567, 38.81729282340483 8.921750434674623))",23.84223789808507,True
26,4_2,"(8.943820738658411, 38.839513496052916)","POLYGON ((38.86174982355968 8.931490185619374, 38.86175349089809 8.921769638995453, 38.81729282340483 8.921750434674623, 38.81727082471154 8.965870430390567, 38.86173684540326 8.965889731184191, 38.86174563086644 8.942603223357397, 38.8614 8.942699999999999, 38.85560000000001 8.938299999999998, 38.8608 8.9322, 38.86174982355968 8.931490185619374))",23.401658545640306,True
32,5_2,"(8.943837324239942, 38.88397688306348)","MULTIPOLYGON (((38.86174563086644 8.942603223357397, 38.86173684540326 8.965889731184191, 38.90359398295093 8.965902865960004, 38.9028 8.962400000000001, 38.8962 8.954799999999999, 38.9011 8.946099999999999, 38.8968 8.936999999999996, 38.8914 8.934300000000002, 38.86174563086644 8.942603223357397)), ((38.87475174231204 8.921773697949602, 38.86175349089809 8.921769638995453, 38.86174982355968 8.931490185619374, 38.87475174231204 8.921773697949602)))",13.599898076059283,True
3,0_3,"(8.98782045278092, 38.66162038118892)","POLYGON ((38.65185594657157 9.009870479072767, 38.68383530041213 9.009899885450594, 38.68387355367005 8.965780444727843, 38.64343002978053 8.965743435713222, 38.6428 8.965899999999998, 38.6394 8.974, 38.6546 8.976900000000001, 38.6594 8.9854, 38.6578 8.994799999999998, 38.6511 9.0025, 38.65185594657157 9.009870479072767))",16.891933613690675,True
9,1_3,"(8.987858563671855, 38.70608857084208)","POLYGON ((38.72833915124168 8.965815787080832, 38.68387355367005 8.965780444727843, 38.68383530041213 9.009899885450594, 38.72830627842195 9.009935404499071, 38.72833915124168 8.965815787080832))",23.84223789808237,True
15,2_3,"(8.987891314145699, 38.7505569429936)","POLYGON ((38.77280491745652 8.965845782331584, 38.72833915124168 8.965815787080832, 38.72830627842195 9.009935404499071, 38.77277742517461 9.009965549712291, 38.77280491745652 8.965845782331584))",23.84223789808493,True
21,3_3,"(8.987918704104686, 38.795025470032535)","POLYGON ((38.81727082471154 8.965870430390567, 38.77280491745652 8.965845782331584, 38.77277742517461 9.009965549712291, 38.81724871305074 9.009990321000249, 38.81727082471154 8.965870430390567))",23.842237898085642,True
27,4_3,"(8.987940733467047, 38.83949412434749)","POLYGON ((38.86173684540326 8.965889731184191, 38.81727082471154 8.965870430390567, 38.81724871305074 9.009990321000249, 38.86172011443058 9.010009718288995, 38.86173684540326 8.965889731184191))",23.842237898085216,True
33,5_3,"(8.987957402167021, 38.88396287832663)","POLYGON ((38.90619999439844 8.977400043633187, 38.906199994416 8.977399975364722, 38.90359398295093 8.965902865960004, 38.86173684540326 8.965889731184191, 38.86172011443058 9.010009718288995, 38.90479317168639 9.010023300552499, 38.905 9.009499999999999, 38.9061 8.997499999999999, 38.90430000000001 8.992200000000002, 38.90619999439844 8.977400043633187))",23.32332678483469,True
4,0_4,"(9.031939742326982, 38.66157933311908)","POLYGON ((38.68354931278203 9.054018991735397, 38.68379685160476 9.054019220462683, 38.68383530041213 9.009899885450594, 38.65185594657157 9.009870479072767, 38.6519 9.010300000000001, 38.667 9.010000000000003, 38.6672 9.026199999999998, 38.6721 9.033099999999997, 38.67260000000001 9.0387, 38.6835 9.049999999999999, 38.68354931278203 9.054018991735397))",6.136637520164882,False
10,1_4,"(9.031978043301788, 38.70605291690462)","POLYGON ((38.72830627842195 9.009935404499071, 38.68383530041213 9.009899885450594, 38.68379685160476 9.054019220462683, 38.72827323755735 9.05405491624774, 38.72830627842195 9.009935404499071))",23.8422378980828,True
16,2_4,"(9.032010957123637, 38.75052668329656)","POLYGON ((38.77277742517461 9.009965549712291, 38.72830627842195 9.009935404499071, 38.72827323755735 9.05405491624774, 38.77274979235292 9.054085211458293, 38.77277742517461 9.009965549712291))",23.842237898086776,True
22,3_4,"(9.032038483694263, 38.79500060466765)","POLYGON ((38.81724871305074 9.009990321000249, 38.77277742517461 9.009965549712291, 38.77274979235292 9.054085211458293, 38.81722648835572 9.054110106003897, 38.81724871305074 9.009990321000249))",23.842237898080384,True
28,4_4,"(9.032060622931477, 38.8394746533901)","POLYGON ((38.86172011443058 9.010009718288995, 38.81724871305074 9.009990321000249, 38.81722648835573 9.054110106003897, 38.8617032979296 9.054129599810205, 38.86172011443058 9.010009718288995))",23.84223789808422,True
34,5_4,"(9.032077374769177, 38.88394880183575)","POLYGON ((38.90479317168639 9.010023300552499, 38.86172011443058 9.010009718288995, 38.8617032979296 9.054129599810205, 38.88278893012553 9.054136281031923, 38.8829 9.052100000000001, 38.8967 9.030499999999996, 38.90479317168639 9.010023300552499))",17.609725994445945,True
5,0_5,"(9.07605892588937, 38.661538075685705)","POLYGON ((38.68378579856081 9.066638147269074, 38.68379685160476 9.054019220462683, 38.68354931278203 9.054018991735397, 38.6837 9.0663, 38.68378579856081 9.066638147269074))",0.025068546368746322,False
11,1_5,"(9.076097416992367, 38.70601708111604)","POLYGON ((38.7282493228234 9.085826530953033, 38.72827323755735 9.05405491624774, 38.68379685160476 9.054019220462683, 38.68378579856081 9.066638147269074, 38.6854 9.073, 38.7007 9.080500000000001, 38.7067 9.081799999999999, 38.7166 9.0878, 38.7271 9.085700000000001, 38.7282493228234 9.085826530953033))",14.828364312208665,True
17,2_5,"(9.076130494200306, 38.75049626926141)","POLYGON ((38.77272263809201 9.097221161226562, 38.77274979235292 9.054085211458293, 38.72827323755735 9.05405491624774, 38.7282493228234 9.085826530953033, 38.738 9.0869, 38.7509 9.0905, 38.76519929097221 9.098199618215803, 38.76575709637307 9.098199999999999, 38.7712 9.0982, 38.77272263809201 9.097221161226562))",20.278018344056882,True
23,3_5,"(9.076158157414419, 38.79497561247812)","POLYGON ((38.81721421856307 9.07834433679573, 38.81722648835572 9.054110106003897, 38.77274979235292 9.054085211458293, 38.77272263809201 9.097221161226562, 38.7782 9.0937, 38.7913 9.077699999999998, 38.8 9.078599999999998, 38.8051 9.0823, 38.81721421856307 9.07834433679573))",15.812034704321846,True
29,4_5,"(9.076180406552103, 38.83945508312197)","POLYGON ((38.8616918161221 9.08410074934833, 38.8617032979296 9.054129599810205, 38.81722648835573 9.054110106003897, 38.81721421856308 9.078344336795729, 38.8247 9.075899999999999, 38.8426 9.0786, 38.8495 9.078200000000001, 38.8568 9.083500000000001, 38.8616918161221 9.08410074934833))",13.292736483974268,True
35,5_5,"(9.076197241546915, 38.883934653548344)","POLYGON ((38.88278893012553 9.054136281031923, 38.8617032979296 9.054129599810205, 38.8616918161221 9.08410074934833, 38.8682 9.084899999999998, 38.8763 9.0816, 38.882 9.068599999999998, 38.88278893012553 9.054136281031923))",6.7859451038859016,False
