name,latitude,longitude,weight
id_1,8.9914634,38.7925942,1
id_2,9.0020233,38.8013214,1
id_3,9.0012857,38.8024922,1
id_4,9.0011167,38.802732,1
id_5,9.000704,38.8034009,1
id_6,9.0007522,38.803307,1
id_7,9.0001673,38.804337,1
id_8,9.0006759,38.8024916,1
id_9,8.9952813,38.8033156,1
id_10,8.9895108,38.7926834,1
id_11,8.9892623,38.792438,1
id_12,8.9891182,38.7922492,1
id_13,8.9894318,38.7941546,1
id_14,9.0389994,38.7554198,1
id_15,9.0143922,38.7307305,1
id_16,9.0140921,38.7445097,1
id_17,8.9920862,38.7588238,1
id_18,8.990732,38.7589682,1
id_19,8.9891687,38.7597072,1
id_20,9.0030585,38.7680706,1
id_21,8.955083,38.76352,1
id_22,9.0181917,38.7541181,1
id_23,9.002939,38.7679213,1
id_24,9.0029739,38.7685431,1
id_25,9.0113636,38.75105,1
id_26,9.0111787,38.7589074,1
id_27,9.0027509,38.7681055,1
id_28,9.0035345,38.7682371,1
id_29,9.0056228,38.7938517,1
id_30,8.9901832,38.7930358,1
id_31,8.999538,38.804825,1
id_32,9.028274,38.833935,1
id_33,9.0011052,38.7838473,1
id_34,9.0029248,38.7791845,1
id_35,8.99672,38.77568,1
id_36,8.9137151,38.7627101,1
id_37,8.998784,38.7859347,1
id_38,8.9901729,38.7849336,1
id_39,9.0307801,38.7412116,1
id_40,9.022483,38.8034251,1
id_41,9.009824,38.755297,1
id_42,9.0429478,38.734786,1
id_43,9.038971,38.7476556,1
id_44,9.0322242,38.7526112,1
id_45,9.0368157,38.7572477,1
id_46,9.012959,38.77803,1
id_47,9.0132893,38.7781669,1
id_48,8.9993193,38.7849943,1
id_49,8.99251,38.7914608,1
id_50,8.9934358,38.7911441,1
id_51,9.0179281,38.7490296,1
id_52,9.0053857,38.7464808,1
id_53,9.009175,38.746487,1
id_54,9.0108303,38.7474568,1
id_55,9.0125264,38.7472885,1
id_56,8.9996487,38.7702967,1
id_57,9.0021746,38.7689897,1
id_58,9.0086405,38.7709612,1
id_59,9.016784,38.79011,1
id_60,9.0331888,38.7546385,1
id_61,9.005008,38.7448481,1
id_62,9.0119576,38.7464556,1
id_63,9.0126561,38.7469035,1
id_64,9.0175679,38.7581026,1
id_65,8.9937198,38.7598634,1
id_66,8.9923126,38.7808933,1
id_67,8.9938912,38.7743298,1
id_68,9.0109518,38.7374146,1
id_69,8.9903471,38.7829918,1
id_70,8.9903385,38.7850841,1
id_71,8.9903708,38.7832177,1
id_72,8.9894154,38.7863989,1
id_73,8.9833428,38.7590725,1
id_74,9.0315317,38.7556102,1
id_75,9.0140113,38.7575924,1
id_76,9.0309919,38.7550055,1
id_77,9.0338394,38.7635447,1
id_78,9.0023911,38.7694068,1
id_79,8.9960727,38.7920233,1
id_80,8.9897501,38.7930004,1
id_81,9.0064628,38.7419597,1
id_82,9.031249,38.7540101,1
id_83,8.9889788,38.7920544,1
id_84,8.991249,38.7934958,1
id_85,8.9886301,38.7907521,1
id_86,8.9899598,38.792531,1
id_87,9.0114271,38.7616972,1
id_88,8.988514,38.7885443,1
id_89,8.988449,38.7919603,1
id_90,8.9952903,38.7925203,1
id_91,8.9960801,38.7912432,1
id_92,9.0148113,38.7594927,1
id_93,9.0140534,38.7590652,1
id_94,9.0137992,38.760304,1
id_95,9.0326162,38.773138,1
id_96,9.0324825,38.7757919,1
id_97,9.032444,38.774567,1
id_98,9.0309271,38.7748257,1
id_99,9.0157212,38.7707264,1
id_100,9.0154353,38.7711602,1
id_101,9.0154677,38.7711037,1
id_102,9.0155824,38.7709433,1
id_103,9.0154979,38.771067,1
id_104,9.0156548,38.7708241,1
id_105,9.0048728,38.7672335,1
id_106,9.0048386,38.767547,1
id_107,9.0087828,38.7919659,1
id_108,9.0050983,38.7893533,1
id_109,9.0091003,38.7904949,1
id_110,9.0156551,38.7949992,1
id_111,9.0033005,38.7838257,1
id_112,9.0034325,38.7836817,1
id_113,9.0165154,38.7890162,1
id_114,9.0105218,38.7839264,1
id_115,9.0109684,38.783642,1
id_116,9.0025328,38.7833356,1
id_117,8.999503,38.7849922,1
id_118,9.0003454,38.7854347,1
id_119,9.0001905,38.7857484,1
id_120,9.0317446,38.7535529,1
id_121,9.0316652,38.7538256,1
id_122,9.0319103,38.7536053,1
id_123,9.0313133,38.7539456,1
id_124,9.0341876,38.7444164,1
id_125,9.030639,38.7559618,1
id_126,9.0314766,38.7538075,1
id_127,9.0375495,38.7330467,1
id_128,9.0025503,38.742804,1
id_129,8.9380687,38.7468861,1
id_130,8.937829,38.7466633,1
id_131,8.9374132,38.7463414,1
id_132,8.9652173,38.7326837,1
id_133,8.9653924,38.7326633,1
id_134,8.9605244,38.7326718,1
id_135,8.9735813,38.7438228,1
id_136,8.9962267,38.7395435,1
id_137,8.990063,38.780969,1
id_138,9.031535,38.754852,1
id_139,8.9860133,38.763322,1
id_140,9.0117374,38.7571816,1
id_141,8.9970349,38.7813266,1
id_142,9.03329,38.712067,1
id_143,9.0331873,38.7082826,1
id_144,9.033625,38.712204,1
id_145,9.037562,38.71693,1
id_146,9.03347,38.708862,1
id_147,9.037233,38.7218514,1
id_148,9.0331881,38.7084096,1
id_149,9.033491,38.706676,1
id_150,9.035605,38.716328,1
id_151,9.035506,38.72355,1
id_152,9.034211,38.704704,1
