,id,geometric_center,geometry,area_km2,n_people,n_workplaces,n_pois
0,0_3,"(8.98782045278092, 38.66162038118892)","POLYGON ((38.68387355367005 8.965780444727844, 38.68383530041213 9.009899885450594, 38.63936451876394 9.0098589926729, 38.63940815234414 8.965739755378113, 38.68387355367005 8.965780444727844))",23.842237898084555,218267.0,12,9
1,1_2,"(8.943738978602658, 38.70612404303603)","POLYGON ((38.7283718561157 8.921696064493137, 38.72833915124168 8.965815787080833, 38.68387355367005 8.965780444727844, 38.68391161149395 8.921660898794752, 38.7283718561157 8.921696064493137))",23.842237898084555,169892.1,25,31
2,1_3,"(8.987858563671855, 38.70608857084208)","POLYGON ((38.72833915124168 8.965815787080833, 38.72830627842195 9.009935404499071, 38.68383530041213 9.009899885450594, 38.68387355367005 8.965780444727844, 38.72833915124168 8.965815787080833))",23.842237898084555,400338.6,40,46
3,1_4,"(9.031978043301788, 38.70605291690462)","POLYGON ((38.72830627842195 9.009935404499071, 38.72827323755735 9.05405491624774, 38.68379685160476 9.054019220462683, 38.68383530041213 9.009899885450594, 38.72830627842195 9.009935404499071))",23.842237898084555,675966.9,54,94
4,1_5,"(9.076097416992367, 38.70601708111604)","POLYGON ((38.72827323755735 9.05405491624774, 38.72824002854811 9.098174321826976, 38.68375820713187 9.098138449264029, 38.68379685160476 9.054019220462683, 38.72827323755735 9.05405491624774))",23.842237898084555,193302.47,16,11
5,2_1,"(8.89965171248583, 38.75061699973811)","POLYGON ((38.7728594807324 8.877605932666073, 38.77283226928161 8.921725909816118, 38.7283718561157 8.921696064493137, 38.72840439314271 8.877576237236347, 38.7728594807324 8.877605932666073))",23.842237898084555,116701.78,31,38
6,2_2,"(8.943771565766381, 38.750587048443826)","POLYGON ((38.77283226928161 8.921725909816118, 38.77280491745652 8.965845782331586, 38.72833915124168 8.965815787080833, 38.7283718561157 8.921696064493137, 38.77283226928161 8.921725909816118))",23.842237898084555,283304.2,81,60
7,2_3,"(8.987891314145699, 38.7505569429936)","POLYGON ((38.77280491745652 8.965845782331586, 38.77277742517461 9.009965549712289, 38.72830627842195 9.009935404499071, 38.72833915124168 8.965815787080833, 38.77280491745652 8.965845782331586))",23.842237898084555,571834.44,200,139
8,2_4,"(9.032010957123637, 38.75052668329656)","POLYGON ((38.77277742517461 9.009965549712289, 38.77274979235292 9.054085211458297, 38.72827323755735 9.05405491624774, 38.72830627842195 9.009935404499071, 38.77277742517461 9.009965549712289))",23.842237898084555,983497.5,263,272
9,2_5,"(9.076130494200306, 38.75049626926141)","POLYGON ((38.77274979235292 9.054085211458297, 38.77272201890802 9.098204767069932, 38.72824002854811 9.098174321826976, 38.72827323755735 9.05405491624774, 38.77274979235292 9.054085211458297))",23.842237898084555,362738.5,21,18
