Installed Capacity (MW),PV Production (MWh),EV Demand (MWh),ECR (%),SSR (%),SCR (%),EPR (%)
10,44.96594999117877,9697.47897021876,0.46368700699708143,0.46368700699708143,100.0,0.0
110,494.62544990296675,9697.47897021876,5.1005570769679,5.1005570769679,100.0,0.0
210,944.2847073635822,9697.47897021876,9.737424646792304,9.737424646792304,100.0,0.0
310,1393.944091822431,9697.47897021876,14.37429352621721,14.069980137078005,97.88293324757721,2.1170667524227937
410,1843.6034762812799,9697.47897021876,19.011162405642125,17.817489836537238,93.72120155708824,6.278798442911768
510,2293.262860740129,9697.47897021876,23.648031285067034,21.294906069926924,90.0493821799617,9.950617820038296
610,2742.922245198979,9697.47897021876,28.284900164491955,24.459329213126992,86.47486493105082,13.525135068949176
710,3192.581629657828,9697.47897021876,32.92176904391687,27.444505408492116,83.36279065648564,16.637209343514357
810,3642.241949285481,9697.47897021876,37.55864756676361,30.273447827317913,80.60313613131132,19.396863868688687
910,4091.901449197269,9697.47897021876,42.19551763673442,32.83966956635206,77.82738879772059,22.172611202279416
1010,4541.560949109056,9697.47897021876,46.832387706705234,35.1463975646103,75.04720405186218,24.95279594813782
1110,4991.219167493219,9697.47897021876,51.469244561616456,37.13894752743656,72.15755320242874,27.842446797571263
1210,5440.878551952072,9697.47897021876,56.10611344104141,38.82998332746854,69.20811467055665,30.791885329443343
1310,5890.537936410918,9697.47897021876,60.74298232046629,40.37093246918216,66.46188732748455,33.53811267251545
1410,6340.198948756208,9697.47897021876,65.37986798658851,41.769858594130525,63.88795187334863,36.11204812665137
1510,6789.856705328617,9697.47897021876,70.01672007931612,43.03432684875405,61.46292885471362,38.53707114528638
1610,7239.5160897874675,9697.47897021876,74.65358895874104,44.08829445847916,59.05716667265056,40.94283332734943
1710,7689.1754742463145,9697.47897021876,79.29045783816593,44.85253758660788,56.56738378047101,43.43261621952899
1810,8138.834858705169,9697.47897021876,83.9273267175909,45.31795127396903,53.99665763984179,46.003342360158214
1910,8588.494243164001,9697.47897021876,88.56419559701564,45.6954943010252,51.595900570190466,48.40409942980953
