id,bbox,is_within_target_area,n_vehicles_origin,n_vehicles_destination,E0_origin_kWh,E0_destination_kWh,Etot_origin_kWh,Etot_destination_kWh
0_0,"POLYGON ((38.68386666666667 8.833500000000003, 38.68386666666667 8.877616666666668, 38.6394 8.877616666666668, 38.6394 8.833500000000003, 38.68386666666667 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
0_1,"POLYGON ((38.68386666666667 8.877616666666668, 38.68386666666667 8.921733333333334, 38.6394 8.921733333333334, 38.6394 8.877616666666668, 38.68386666666667 8.877616666666668))",False,0,0,0,0.0,0.0,0.0
0_2,"POLYGON ((38.68386666666667 8.921733333333336, 38.68386666666667 8.965850000000001, 38.6394 8.965850000000001, 38.6394 8.921733333333336, 38.68386666666667 8.921733333333336))",False,0,1254,0,4.820005316321106,0.0,6044.286666666667
0_3,"POLYGON ((38.68386666666667 8.965850000000001, 38.68386666666667 9.009966666666667, 38.6394 9.009966666666667, 38.6394 8.965850000000001, 38.68386666666667 8.965850000000001))",True,0,3220,0,4.561612836438924,0.0,14688.393333333333
0_4,"POLYGON ((38.68386666666667 9.009966666666667, 38.68386666666667 9.054083333333333, 38.6394 9.054083333333333, 38.6394 9.009966666666667, 38.68386666666667 9.009966666666667))",False,0,0,0,0.0,0.0,0.0
0_5,"POLYGON ((38.68386666666667 9.054083333333335, 38.68386666666667 9.0982, 38.6394 9.0982, 38.6394 9.054083333333335, 38.68386666666667 9.054083333333335))",False,0,578,0,4.831453287197232,0.0,2792.58
1_0,"POLYGON ((38.72833333333333 8.833500000000003, 38.72833333333333 8.877616666666668, 38.68386666666667 8.877616666666668, 38.68386666666667 8.833500000000003, 38.72833333333333 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
1_1,"POLYGON ((38.72833333333333 8.877616666666668, 38.72833333333333 8.921733333333334, 38.68386666666667 8.921733333333334, 38.68386666666667 8.877616666666668, 38.72833333333333 8.877616666666668))",False,0,0,0,0.0,0.0,0.0
1_2,"POLYGON ((38.72833333333333 8.921733333333336, 38.72833333333333 8.965850000000001, 38.68386666666667 8.965850000000001, 38.68386666666667 8.921733333333336, 38.72833333333333 8.921733333333336))",True,0,7954,0,4.2544572961193525,0.0,33839.95333333333
1_3,"POLYGON ((38.72833333333333 8.965850000000001, 38.72833333333333 9.009966666666667, 38.68386666666667 9.009966666666667, 38.68386666666667 8.965850000000001, 38.72833333333333 8.965850000000001))",True,0,16179,0,3.9383501246471764,0.0,63718.566666666666
1_4,"POLYGON ((38.72833333333333 9.009966666666667, 38.72833333333333 9.054083333333333, 38.68386666666667 9.054083333333333, 38.68386666666667 9.009966666666667, 38.72833333333333 9.009966666666667))",True,0,20346,0,3.798413775025394,0.0,77282.52666666667
1_5,"POLYGON ((38.72833333333333 9.054083333333335, 38.72833333333333 9.0982, 38.68386666666667 9.0982, 38.68386666666667 9.054083333333335, 38.72833333333333 9.054083333333335))",False,0,4478,0,4.095908887896382,0.0,18341.48
2_0,"POLYGON ((38.7728 8.833500000000003, 38.7728 8.877616666666668, 38.72833333333333 8.877616666666668, 38.72833333333333 8.833500000000003, 38.7728 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
2_1,"POLYGON ((38.7728 8.877616666666668, 38.7728 8.921733333333334, 38.72833333333333 8.921733333333334, 38.72833333333333 8.877616666666668, 38.7728 8.877616666666668))",True,0,6525,0,4.866039335887612,0.0,31750.906666666666
2_2,"POLYGON ((38.7728 8.921733333333336, 38.7728 8.965850000000001, 38.72833333333333 8.965850000000001, 38.72833333333333 8.921733333333336, 38.7728 8.921733333333336))",True,0,23736,0,4.680453038984384,0.0,111095.23333333332
2_3,"POLYGON ((38.7728 8.965850000000001, 38.7728 9.009966666666667, 38.72833333333333 9.009966666666667, 38.72833333333333 8.965850000000001, 38.7728 8.965850000000001))",True,0,78448,0,4.150588840165884,0.0,325605.3933333333
2_4,"POLYGON ((38.7728 9.009966666666667, 38.7728 9.054083333333333, 38.72833333333333 9.054083333333333, 38.72833333333333 9.009966666666667, 38.7728 9.009966666666667))",True,0,96204,0,3.894098374287971,0.0,374627.83999999997
2_5,"POLYGON ((38.7728 9.054083333333335, 38.7728 9.0982, 38.72833333333333 9.0982, 38.72833333333333 9.054083333333335, 38.7728 9.054083333333335))",True,0,5899,0,4.230326043962253,0.0,24954.69333333333
3_0,"POLYGON ((38.81726666666667 8.833500000000003, 38.81726666666667 8.877616666666668, 38.7728 8.877616666666668, 38.7728 8.833500000000003, 38.81726666666667 8.833500000000003))",True,0,1870,0,4.700588235294118,0.0,8790.1
3_1,"POLYGON ((38.81726666666667 8.877616666666668, 38.81726666666667 8.921733333333334, 38.7728 8.921733333333334, 38.7728 8.877616666666668, 38.81726666666667 8.877616666666668))",True,0,4021,0,4.452701649672552,0.0,17904.31333333333
3_2,"POLYGON ((38.81726666666667 8.921733333333336, 38.81726666666667 8.965850000000001, 38.7728 8.965850000000001, 38.7728 8.921733333333336, 38.81726666666667 8.921733333333336))",True,0,2418,0,4.891604631927213,0.0,11827.9
3_3,"POLYGON ((38.81726666666667 8.965850000000001, 38.81726666666667 9.009966666666667, 38.7728 9.009966666666667, 38.7728 8.965850000000001, 38.81726666666667 8.965850000000001))",True,0,61324,0,4.457928489117909,0.0,273378.00666666665
3_4,"POLYGON ((38.81726666666667 9.009966666666667, 38.81726666666667 9.054083333333333, 38.7728 9.054083333333333, 38.7728 9.009966666666667, 38.81726666666667 9.009966666666667))",True,0,56249,0,3.9071275933794376,0.0,219772.02
3_5,"POLYGON ((38.81726666666667 9.054083333333335, 38.81726666666667 9.0982, 38.7728 9.0982, 38.7728 9.054083333333335, 38.81726666666667 9.054083333333335))",True,0,2163,0,4.474273385729696,0.0,9677.853333333333
4_0,"POLYGON ((38.86173333333333 8.833500000000003, 38.86173333333333 8.877616666666668, 38.81726666666667 8.877616666666668, 38.81726666666667 8.833500000000003, 38.86173333333333 8.833500000000003))",False,0,414,0,4.027375201288245,0.0,1667.3333333333333
4_1,"POLYGON ((38.86173333333333 8.877616666666668, 38.86173333333333 8.921733333333334, 38.81726666666667 8.921733333333334, 38.81726666666667 8.877616666666668, 38.86173333333333 8.877616666666668))",True,0,0,0,0.0,0.0,0.0
4_2,"POLYGON ((38.86173333333333 8.921733333333336, 38.86173333333333 8.965850000000001, 38.81726666666667 8.965850000000001, 38.81726666666667 8.921733333333336, 38.86173333333333 8.921733333333336))",True,0,182,0,5.644175824175824,0.0,1027.24
4_3,"POLYGON ((38.86173333333333 8.965850000000001, 38.86173333333333 9.009966666666667, 38.81726666666667 9.009966666666667, 38.81726666666667 8.965850000000001, 38.86173333333333 8.965850000000001))",True,0,3654,0,5.070979748221126,0.0,18529.359999999997
4_4,"POLYGON ((38.86173333333333 9.009966666666667, 38.86173333333333 9.054083333333333, 38.81726666666667 9.054083333333333, 38.81726666666667 9.009966666666667, 38.86173333333333 9.009966666666667))",True,0,17138,0,4.643303769401331,0.0,79576.94
4_5,"POLYGON ((38.86173333333333 9.054083333333335, 38.86173333333333 9.0982, 38.81726666666667 9.0982, 38.81726666666667 9.054083333333335, 38.86173333333333 9.054083333333335))",True,0,0,0,0.0,0.0,0.0
5_0,"POLYGON ((38.9062 8.833500000000003, 38.9062 8.877616666666668, 38.86173333333333 8.877616666666668, 38.86173333333333 8.833500000000003, 38.9062 8.833500000000003))",False,0,0,0,0.0,0.0,0.0
5_1,"POLYGON ((38.9062 8.877616666666668, 38.9062 8.921733333333334, 38.86173333333333 8.921733333333334, 38.86173333333333 8.877616666666668, 38.9062 8.877616666666668))",True,0,0,0,0.0,0.0,0.0
5_2,"POLYGON ((38.9062 8.921733333333336, 38.9062 8.965850000000001, 38.86173333333333 8.965850000000001, 38.86173333333333 8.921733333333336, 38.9062 8.921733333333336))",True,0,101,0,6.720066006600661,0.0,678.7266666666667
5_3,"POLYGON ((38.9062 8.965850000000001, 38.9062 9.009966666666667, 38.86173333333333 9.009966666666667, 38.86173333333333 8.965850000000001, 38.9062 8.965850000000001))",True,0,148,0,5.424054054054054,0.0,802.76
