Time,Charging profile at origin (MW),Number of cars charging at origin,Charging profile at destination (MW),Number of cars charging at destination,Total (MW)
0.0,0.0,0.0,0.011,1.0,0.011
0.1,0.0,0.0,0.01543075558468675,2.0,0.01543075558468675
0.2,0.0,0.0,0.007,1.0,0.007
0.30000000000000004,0.0,0.0,0.014,2.0,0.014
0.4,0.0,0.0,0.032,4.0,0.032
0.5,0.0,0.0,0.032,4.0,0.032
0.6000000000000001,0.0,0.0,0.03843075558469376,5.0,0.03843075558469376
0.7000000000000001,0.0,0.0,0.040411783018904156,5.0,0.040411783018904156
0.8,0.0,0.0,0.039,5.0,0.039
0.9,0.0,0.0,0.04220066427747274,7.0,0.04220066427747274
1.0,0.0,0.0,0.0727793907480196,9.0,0.0727793907480196
1.1,0.0,0.0,0.05938969611405513,9.0,0.05938969611405513
1.2000000000000002,0.0,0.0,0.099,12.0,0.099
1.3,0.0,0.0,0.10023854424971906,13.0,0.10023854424971906
1.4000000000000001,0.0,0.0,0.13284254409872695,18.0,0.13284254409872695
1.5,0.0,0.0,0.16681096816341867,22.0,0.16681096816341867
1.6,0.0,0.0,0.2045322771799049,27.0,0.2045322771799049
1.7000000000000002,0.0,0.0,0.2659895385608237,35.0,0.2659895385608237
1.8,0.0,0.0,0.3335177689851094,43.0,0.3335177689851094
1.9000000000000001,0.0,0.0,0.41374243519219317,52.0,0.41374243519219317
2.0,0.0,0.0,0.5081228975585158,64.0,0.5081228975585158
2.1,0.0,0.0,0.6314446776820314,79.0,0.6314446776820314
2.2,0.0,0.0,0.7626860330737362,98.0,0.7626860330737362
2.3000000000000003,0.0,0.0,0.7847728035657964,104.0,0.7847728035657964
2.4000000000000004,0.0,0.0,0.9177462656329236,121.0,0.9177462656329236
2.5,0.0,0.0,0.9576133355969944,128.0,0.9576133355969944
2.6,0.0,0.0,1.0915474293011018,144.0,1.0915474293011018
2.7,0.0,0.0,1.4568773539807187,188.0,1.4568773539807187
2.8000000000000003,0.0,0.0,1.746450388213336,218.0,1.746450388213336
2.9000000000000004,0.0,0.0,2.0661571941810717,264.0,2.0661571941810717
3.0,0.0,0.0,2.590915034240881,331.0,2.590915034240881
3.1,0.0,0.0,2.9225461880673556,376.0,2.9225461880673556
3.2,0.0,0.0,3.354018413956049,439.0,3.354018413956049
3.3000000000000003,0.0,0.0,3.8402464952527833,497.0,3.8402464952527833
3.4000000000000004,0.0,0.0,4.544796199389838,589.0,4.544796199389838
3.5,0.0,0.0,5.467555774631363,709.0,5.467555774631363
3.6,0.0,0.0,6.366866363877499,825.0,6.366866363877499
3.7,0.0,0.0,7.287939167837537,940.0,7.287939167837537
3.8000000000000003,0.0,0.0,8.170785859827692,1067.0,8.170785859827692
3.9000000000000004,0.0,0.0,9.007352747628687,1178.0,9.007352747628687
4.0,0.0,0.0,10.36342853725629,1348.0,10.36342853725629
4.1000000000000005,0.0,0.0,12.435938458235315,1595.0,12.435938458235315
4.2,0.0,0.0,14.295720423482104,1833.0,14.295720423482104
4.3,0.0,0.0,15.963488770234074,2081.0,15.963488770234074
4.4,0.0,0.0,17.978001064405454,2332.0,17.978001064405454
