id,geometric_center,bbox,population,destinations,is_within_target_area,n_outflows,n_inflows,pkm_outflows,pkm_inflows,km_per_capita_outflows,km_per_capita_inflows
0_0,"(38.661633333333334, 8.855558333333336)","POLYGON ((38.68386666666667 8.833500000000003, 38.68386666666667 8.877616666666668, 38.6394 8.877616666666668, 38.6394 8.833500000000003, 38.68386666666667 8.833500000000003))",2155.9214,0,False,215.00000000000003,0.0,4777.473589556336,0.0,22.22080739328528,0.0
0_1,"(38.7061, 8.855558333333336)","POLYGON ((38.68386666666667 8.877616666666668, 38.68386666666667 8.921733333333334, 38.6394 8.921733333333334, 38.6394 8.877616666666668, 38.68386666666667 8.877616666666668))",35318.562,0,False,3531.0,0.0,61622.194094827886,0.0,17.45176836443724,0.0
0_2,"(38.750566666666664, 8.855558333333336)","POLYGON ((38.68386666666667 8.921733333333336, 38.68386666666667 8.965850000000001, 38.6394 8.965850000000001, 38.6394 8.921733333333336, 38.68386666666667 8.921733333333336))",152492.77,6,False,15249.0,1756.2676083805716,218908.78108807304,20808.4157310533,14.355615521547186,11.848089455023562
0_3,"(38.795033333333336, 8.855558333333336)","POLYGON ((38.68386666666667 8.965850000000001, 38.68386666666667 9.009966666666667, 38.6394 9.009966666666667, 38.6394 8.965850000000001, 38.68386666666667 8.965850000000001))",213180.6,12,True,21317.999999999993,4508.42448353682,278173.60845924536,50566.906071828176,13.048766697591024,11.216092507810817
0_4,"(38.8395, 8.855558333333336)","POLYGON ((38.68386666666667 9.009966666666667, 38.68386666666667 9.054083333333333, 38.6394 9.054083333333333, 38.6394 9.009966666666667, 38.68386666666667 9.009966666666667))",69972.914,0,False,6996.999999999998,0.0,88149.55383332648,0.0,12.59819263017386,0.0
0_5,"(38.883966666666666, 8.855558333333336)","POLYGON ((38.68386666666667 9.054083333333335, 38.68386666666667 9.0982, 38.6394 9.0982, 38.6394 9.054083333333335, 38.68386666666667 9.054083333333335))",52453.668,3,False,5245.000000000002,808.8877126072438,79388.68697841318,9613.996934865228,15.136069967285636,11.885453054883174
1_0,"(38.661633333333334, 8.899675000000002)","POLYGON ((38.72833333333333 8.833500000000003, 38.72833333333333 8.877616666666668, 38.68386666666667 8.877616666666668, 38.68386666666667 8.833500000000003, 38.72833333333333 8.833500000000003))",870.1038,0,False,86.99999999999997,0.0,1568.0661866880203,0.0,18.0237492722761,0.0
1_1,"(38.7061, 8.899675000000002)","POLYGON ((38.72833333333333 8.877616666666668, 38.72833333333333 8.921733333333334, 38.68386666666667 8.921733333333334, 38.68386666666667 8.877616666666668, 38.72833333333333 8.877616666666668))",8342.08,0,False,833.9999999999999,0.0,11225.86134945714,0.0,13.460265407022952,0.0
1_2,"(38.750566666666664, 8.899675000000002)","POLYGON ((38.72833333333333 8.921733333333336, 38.72833333333333 8.965850000000001, 38.68386666666667 8.965850000000001, 38.68386666666667 8.921733333333336, 38.72833333333333 8.921733333333336))",174998.9,25,True,17498.999999999993,11135.224596411384,196069.10692166156,116497.71713651631,11.204589229193761,10.462089572406175
1_3,"(38.795033333333336, 8.899675000000002)","POLYGON ((38.72833333333333 8.965850000000001, 38.72833333333333 9.009966666666667, 38.68386666666667 9.009966666666667, 38.68386666666667 8.965850000000001, 38.72833333333333 8.965850000000001))",401431.06,40,True,40142.999999999985,22649.937543351985,375500.022534492,219359.65780025645,9.35405979957881,9.684779809233559
1_4,"(38.8395, 8.899675000000002)","POLYGON ((38.72833333333333 9.009966666666667, 38.72833333333333 9.054083333333333, 38.68386666666667 9.054083333333333, 38.68386666666667 9.009966666666667, 38.72833333333333 9.009966666666667))",702791.1,54,True,70278.99999999999,28484.633800459742,641914.9460060616,266054.3188279621,9.133808762305408,9.340275205632729
1_5,"(38.883966666666666, 8.899675000000002)","POLYGON ((38.72833333333333 9.054083333333335, 38.72833333333333 9.0982, 38.68386666666667 9.0982, 38.68386666666667 9.054083333333335, 38.72833333333333 9.054083333333335))",198938.5,16,False,19893.000000000004,6269.226587397494,239710.77140447835,63143.27609318175,12.050006102874292,10.071940328351417
2_0,"(38.661633333333334, 8.943791666666668)","POLYGON ((38.7728 8.833500000000003, 38.7728 8.877616666666668, 38.72833333333333 8.877616666666668, 38.72833333333333 8.833500000000003, 38.7728 8.833500000000003))",8237.187,0,False,822.9999999999999,0.0,11883.813824441717,0.0,14.43962797623538,0.0
