Time,Charging profile at origin (MW),Number of cars charging at origin,Charging profile at destination (MW),Number of cars charging at destination,Total (MW)
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.007,1.0,0.007
1.2000000000000002,0.0,0.0,0.014,2.0,0.014
1.3,0.0,0.0,0.036,3.0,0.036
1.4000000000000001,0.0,0.0,0.014,2.0,0.014
1.5,0.0,0.0,0.014,2.0,0.014
1.6,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.011,1.0,0.011
2.0,0.0,0.0,0.025,3.0,0.025
2.1,0.0,0.0,0.043,5.0,0.043
2.2,0.0,0.0,0.068,8.0,0.068
2.3000000000000003,0.0,0.0,0.111,13.0,0.111
2.4000000000000004,0.0,0.0,0.132,16.0,0.132
2.5,0.0,0.0,0.139,17.0,0.139
2.6,0.0,0.0,0.149,18.0,0.149
2.7,0.0,0.0,0.166,22.0,0.166
2.8000000000000003,0.0,0.0,0.196,24.0,0.196
2.9000000000000004,0.0,0.0,0.264,32.0,0.264
3.0,0.0,0.0,0.271,33.0,0.271
3.1,0.0,0.0,0.301,34.0,0.301
3.2,0.0,0.0,0.321,38.0,0.321
3.3000000000000003,0.0,0.0,0.316,39.0,0.316
3.4000000000000004,0.0,0.0,0.38,47.0,0.38
3.5,0.0,0.0,0.447,57.0,0.447
3.6,0.0,0.0,0.567,73.0,0.567
3.7,0.0,0.0,0.67,86.0,0.67
3.8000000000000003,0.0,0.0,0.807,100.0,0.807
3.9000000000000004,0.0,0.0,1.031,128.0,1.031
4.0,0.0,0.0,1.189,145.0,1.189
4.1000000000000005,0.0,0.0,1.269,158.0,1.269
4.2,0.0,0.0,1.423,176.0,1.423
4.3,0.0,0.0,1.628,204.0,1.628
4.4,0.0,0.0,1.912,239.0,1.912
4.5,0.0,0.0,2.117,263.0,2.117
4.6000000000000005,0.0,0.0,2.542,312.0,2.542
4.7,0.0,0.0,2.972,367.0,2.972
4.800000000000001,0.0,0.0,3.249,401.0,3.249
4.9,0.0,0.0,3.56,444.0,3.56
5.0,0.0,0.0,3.94,497.0,3.94
5.1000000000000005,0.0,0.0,4.269,540.0,4.269
5.2,0.0,0.0,4.774,598.0,4.774
5.300000000000001,0.0,0.0,5.071,645.0,5.071
5.4,0.0,0.0,5.668,713.0,5.668
5.5,0.0,0.0,5.855,728.0,5.855
5.6000000000000005,0.0,0.0,6.476,810.0,6.476
5.7,0.0,0.0,6.942,866.0,6.942
5.800000000000001,0.0,0.0,7.624,948.0,7.624
5.9,0.0,0.0,8.211,1012.0,8.211
6.0,0.0,0.0,9.006,1113.0,9.006
6.1000000000000005,0.0,0.0,9.653,1195.0,9.653
6.2,0.0,0.0,10.7,1328.0,10.7
6.300000000000001,0.0,0.0,11.134,1386.0,11.134
6.4,0.0,0.0,12.131,1511.0,12.131
6.5,0.0,0.0,12.82,1609.0,12.82
6.6000000000000005,0.0,0.0,13.713,1705.0,13.713
6.7,0.0,0.0,14.562,1800.0,14.562
6.800000000000001,0.0,0.0,15.897,1975.0,15.897
6.9,0.0,0.0,17.119,2127.0,17.119
7.0,0.0,0.0,18.51,2285.0,18.51
7.1000000000000005,0.0,0.0,19.353,2415.0,19.353
7.2,0.0,0.0,20.245,2528.0,20.245
7.300000000000001,0.0,0.0,21.07,2616.0,21.07
7.4,0.0,0.0,22.245,2753.0,22.245
7.5,0.0,0.0,23.462,2905.0,23.462
7.6000000000000005,0.0,0.0,24.177,2993.0,24.177
7.7,0.0,0.0,25.134,3108.0,25.134
7.800000000000001,0.0,0.0,26.412,3273.0,26.412
7.9,0.0,0.0,27.512,3421.0,27.512
8.0,0.0,0.0,28.701,3561.0,28.701
8.1,0.0,0.0,29.7,3698.0,29.7
8.200000000000001,0.0,0.0,30.366,3792.0,30.366
8.3,0.0,0.0,30.782,3836.0,30.782
8.4,0.0,0.0,31.013,3873.0,31.013
8.5,0.0,0.0,31.098,3895.0,31.098
8.6,0.0,0.0,31.564,3956.0,31.564
8.700000000000001,0.0,0.0,32.441,4055.0,32.441
8.8,0.0,0.0,33.492,4168.0,33.492
8.9,0.0,0.0,34.259,4260.0,34.259
9.0,0.0,0.0,34.694,4325.0,34.694
9.1,0.0,0.0,34.532,4328.0,34.532
9.200000000000001,0.0,0.0,34.688,4365.0,34.688
9.3,0.0,0.0,34.797,4355.0,34.797
9.4,0.0,0.0,34.609,4320.0,34.609
9.5,0.0,0.0,34.147,4289.0,34.147
9.600000000000001,0.0,0.0,33.878,4260.0,33.878
9.700000000000001,0.0,0.0,33.495,4212.0,33.495
9.8,0.0,0.0,33.468,4222.0,33.468
9.9,0.0,0.0,32.91,4148.0,32.91
10.0,0.0,0.0,32.034,4019.0,32.034
10.100000000000001,0.0,0.0,31.83,3983.0,31.83
10.200000000000001,0.0,0.0,30.86,3857.0,30.86
10.3,0.0,0.0,30.255,3772.0,30.255
10.4,0.0,0.0,29.473,3674.0,29.473
10.5,0.0,0.0,28.849,3608.0,28.849
10.600000000000001,0.0,0.0,27.978,3510.0,27.978
10.700000000000001,0.0,0.0,27.43,3431.0,27.43
10.8,0.0,0.0,26.748,3348.0,26.748
10.9,0.0,0.0,26.078,3276.0,26.078
11.0,0.0,0.0,25.268,3178.0,25.268
11.100000000000001,0.0,0.0,24.081,3041.0,24.081
11.200000000000001,0.0,0.0,23.08,2933.0,23.08
11.3,0.0,0.0,22.077,2801.0,22.077
11.4,0.0,0.0,21.005,2657.0,21.005
11.5,0.0,0.0,20.111,2540.0,20.111
11.600000000000001,0.0,0.0,19.36,2442.0,19.36
11.700000000000001,0.0,0.0,18.507,2324.0,18.507
11.8,0.0,0.0,16.836,2118.0,16.836
11.9,0.0,0.0,15.627,1971.0,15.627
12.0,0.0,0.0,14.385,1831.0,14.385
12.100000000000001,0.0,0.0,13.315,1687.0,13.315
12.200000000000001,0.0,0.0,12.602,1590.0,12.602
12.3,0.0,0.0,11.518,1442.0,11.518
12.4,0.0,0.0,10.526,1319.0,10.526
12.5,0.0,0.0,9.562,1204.0,9.562
12.600000000000001,0.0,0.0,8.945,1119.0,8.945
12.700000000000001,0.0,0.0,8.236,1041.0,8.236
12.8,0.0,0.0,7.613,961.0,7.613
12.9,0.0,0.0,7.243,916.0,7.243
13.0,0.0,0.0,6.499,824.0,6.499
13.100000000000001,0.0,0.0,5.718,733.0,5.718
13.200000000000001,0.0,0.0,5.398,695.0,5.398
13.3,0.0,0.0,4.86,626.0,4.86
13.4,0.0,0.0,4.397,559.0,4.397
13.5,0.0,0.0,3.962,501.0,3.962
13.600000000000001,0.0,0.0,3.716,466.0,3.716
13.700000000000001,0.0,0.0,3.3,416.0,3.3
13.8,0.0,0.0,2.723,347.0,2.723
13.9,0.0,0.0,2.292,289.0,2.292
14.0,0.0,0.0,1.968,253.0,1.968
14.100000000000001,0.0,0.0,1.812,234.0,1.812
14.200000000000001,0.0,0.0,1.589,207.0,1.589
14.3,0.0,0.0,1.566,202.0,1.566
14.4,0.0,0.0,1.472,192.0,1.472
14.5,0.0,0.0,1.466,190.0,1.466
14.600000000000001,0.0,0.0,1.291,169.0,1.291
14.700000000000001,0.0,0.0,1.1,143.0,1.1
14.8,0.0,0.0,0.938,122.0,0.938
14.9,0.0,0.0,0.79,106.0,0.79
15.0,0.0,0.0,0.707,92.0,0.707
15.100000000000001,0.0,0.0,0.612,79.0,0.612
15.200000000000001,0.0,0.0,0.52,66.0,0.52
15.3,0.0,0.0,0.453,57.0,0.453
15.4,0.0,0.0,0.345,47.0,0.345
15.5,0.0,0.0,0.321,43.0,0.321
15.600000000000001,0.0,0.0,0.253,35.0,0.253
15.700000000000001,0.0,0.0,0.19,26.0,0.19
15.8,0.0,0.0,0.155,21.0,0.155
15.9,0.0,0.0,0.131,17.0,0.131
16.0,0.0,0.0,0.095,13.0,0.095
16.1,0.0,0.0,0.088,12.0,0.088
16.2,0.0,0.0,0.113,15.0,0.113
16.3,0.0,0.0,0.117,15.0,0.117
16.400000000000002,0.0,0.0,0.114,14.0,0.114
16.5,0.0,0.0,0.11,14.0,0.11
16.6,0.0,0.0,0.096,12.0,0.096
16.7,0.0,0.0,0.078,10.0,0.078
16.8,0.0,0.0,0.039,5.0,0.039
16.900000000000002,0.0,0.0,0.028,4.0,0.028
17.0,0.0,0.0,0.021,3.0,0.021
17.1,0.0,0.0,0.014,2.0,0.014
17.2,0.0,0.0,0.025,3.0,0.025
17.3,0.0,0.0,0.011,1.0,0.011
17.400000000000002,0.0,0.0,0.011,1.0,0.011
17.5,0.0,0.0,0.011,1.0,0.011
17.6,0.0,0.0,0.011,1.0,0.011
17.7,0.0,0.0,0.011,1.0,0.011
17.8,0.0,0.0,0.0,0.0,0.0
