Distance (km),Centroid ,Travel (road)
0.5,0.0,0.0
1.5,0.0,0.0
2.5,0.0,0.0
3.5,17441.469668581216,0.0
4.5,11866.732813667757,0.0
5.5,0.0,0.0
6.5,13456.063804596091,17441.469668581216
7.5,4138.779368659139,0.0
8.5,0.0,11866.732813667757
9.5,6080.03127802613,0.0
10.5,2130.037021608485,13456.063804596091
11.5,676.1766725730486,0.0
12.5,1764.6775452965812,4138.779368659139
13.5,0.0,0.0
14.5,269.6961046681172,4442.173733040865
15.5,622.6528297503173,0.0
16.5,212.64296535569883,1637.8575449852651
17.5,0.0,2130.037021608485
18.5,58.342694814178685,676.1766725730486
19.5,35.02409331138915,0.0
20.5,54.13671291098581,1764.6775452965812
21.5,29.535306679768837,0.0
22.5,4.36723280800652,0.0
23.5,0.0,0.0
24.5,2.075758049322758,891.2828534669898
25.5,1.2391032312443713,1.0660809514447465
26.5,0.0,71.50557792332984
27.5,0.2887845183213358,141.137387432369
28.5,0.0,0.0
29.5,0.027974074429948814,23.72686707526009
30.5,0.0,34.6158277389186
31.5,0.002266819807118736,1.8768346412907704
32.5,0.0,87.28397158108419
33.5,0.0,0.0
34.5,0.0,26.899264127932838
35.5,0.0,2.636042551835999
36.5,0.0,0.0
37.5,0.0,4.36723280800652
38.5,0.0,0.0
39.5,0.0,0.6223785822367063
40.5,0.0,1.703659601196705
41.5,0.0,0.0
42.5,0.0,0.988823097133718
43.5,0.0,0.0
44.5,0.0,0.2887845183213358
45.5,0.0,0.0
46.5,0.0,0.0
47.5,0.0,0.027974074429948814
48.5,0.0,0.0
49.5,0.0,0.0
50.5,0.0,0.002266819807118736
