,PV Production (W/m2),Performance Ratio,Capacity Factor,Temperature (C),POA Irradiance (W/m2)
2020-01-01 00:00:00,0.0,,0.0,12.97,0.0
2020-01-01 01:00:00,0.0,,0.0,12.69,0.0
2020-01-01 02:00:00,0.0,,0.0,12.44,0.0
2020-01-01 03:00:00,0.0,,0.0,9.76,0.0
2020-01-01 04:00:00,0.0,,0.0,9.09,0.0
2020-01-01 05:00:00,0.0,,0.0,8.42,0.0
2020-01-01 06:00:00,0.0,,0.0,7.88,0.0
2020-01-01 07:00:00,9.825780463757278,0.9044681747999999,0.04466263847162399,10.226519999999999,49.379999999999995
2020-01-01 08:00:00,54.745978108799996,0.85221012,0.24884535504,27.588,292.0
2020-01-01 09:00:00,93.27277008661612,0.8029528546,0.423967136757346,43.95254,528.01
2020-01-01 10:00:00,112.35363904590012,0.7749478146,0.510698359299546,53.25654000000001,659.01
2020-01-01 11:00:00,138.58638505944012,0.7376238145999999,0.629938113906546,65.65654,854.01
2020-01-01 12:00:00,127.7657848632,0.74551164,0.58075356756,63.036,779.0
2020-01-01 13:00:00,129.97859955598008,0.7394298145999998,0.5908118161635458,65.05654,799.01
2020-01-01 14:00:00,131.8776241962841,0.7355047745999999,0.5994437463467459,66.36054,815.01
2020-01-01 15:00:00,105.73044709725211,0.7664836946,0.48059294135114594,56.06854,627.01
2020-01-01 16:00:00,72.8627332928,0.80386952,0.33119424224,43.647999999999996,412.0
2020-01-01 17:00:00,40.060864412799994,0.8391467199999998,0.18209483823999997,31.928,217.0
2020-01-01 18:00:00,0.0,,0.0,18.7,0.0
2020-01-01 19:00:00,0.0,,0.0,16.89,0.0
2020-01-01 20:00:00,0.0,,0.0,15.81,0.0
2020-01-01 21:00:00,0.0,,0.0,14.5,0.0
2020-01-01 22:00:00,0.0,,0.0,13.63,0.0
2020-01-01 23:00:00,0.0,,0.0,12.48,0.0
2020-01-02 00:00:00,0.0,,0.0,11.86,0.0
2020-01-02 01:00:00,0.0,,0.0,11.15,0.0
2020-01-02 02:00:00,0.0,,0.0,9.97,0.0
2020-01-02 03:00:00,0.0,,0.0,9.26,0.0
2020-01-02 04:00:00,0.0,,0.0,8.91,0.0
2020-01-02 05:00:00,0.0,,0.0,8.61,0.0
2020-01-02 06:00:00,0.0,,0.0,8.25,0.0
2020-01-02 07:00:00,8.648974488084479,0.9033437592,0.039313520400383994,10.60008,43.519999999999996
2020-01-02 08:00:00,48.7500446928,0.85888028,0.22159111224000003,25.372,258.0
2020-01-02 09:00:00,92.65660112032411,0.8022063745999999,0.42116636872874597,44.200540000000004,525.01
2020-01-02 10:00:00,114.6395534440081,0.7708301345999999,0.5210888792909459,54.624539999999996,676.01
2020-01-02 11:00:00,124.31997938662413,0.7534443746000001,0.5650908153937461,60.40054,750.01
2020-01-02 12:00:00,107.18339192879999,0.76966388,0.48719723604,55.012,633.0
2020-01-02 13:00:00,82.6126491828,0.79389438,0.37551204173999997,46.962,473.0
2020-01-02 14:00:00,89.9742654712,0.78497876,0.40897393396,49.92400000000001,521.0
2020-01-02 15:00:00,103.15572476056012,0.7699211146,0.468889658002546,54.92654,609.01
2020-01-02 16:00:00,78.63349034603613,0.7978057546,0.357424956118346,45.66254,448.01
2020-01-02 17:00:00,28.404297820799993,0.8494108199999999,0.12911044463999996,28.518,152.0
2020-01-02 18:00:00,0.0,,0.0,18.94,0.0
2020-01-02 19:00:00,0.0,,0.0,17.4,0.0
2020-01-02 20:00:00,0.0,,0.0,16.2,0.0
2020-01-02 21:00:00,0.0,,0.0,15.21,0.0
2020-01-02 22:00:00,0.0,,0.0,14.44,0.0
2020-01-02 23:00:00,0.0,,0.0,13.43,0.0
2020-01-03 00:00:00,0.0,,0.0,12.4,0.0
2020-01-03 01:00:00,0.0,,0.0,11.67,0.0
2020-01-03 02:00:00,0.0,,0.0,11.2,0.0
2020-01-03 03:00:00,0.0,,0.0,11.12,0.0
2020-01-03 04:00:00,0.0,,0.0,10.73,0.0
2020-01-03 05:00:00,0.0,,0.0,10.18,0.0
2020-01-03 06:00:00,0.0,,0.0,10.01,0.0
2020-01-03 07:00:00,10.09917041374208,0.8951895487999999,0.045905320062464,13.30912,51.28
2020-01-03 08:00:00,52.218497311200004,0.8507412400000001,0.23735680596000003,28.076,279.0
2020-01-03 09:00:00,73.26230325920001,0.8242833400000001,0.33301046936000006,36.866,404.0
2020-01-03 10:00:00,99.5660807328,0.78983088,0.45257309424000003,48.312000000000005,573.0
2020-01-03 11:00:00,125.1006737932921,0.7561593945999999,0.5686394263331459,59.49854,752.01
2020-01-03 12:00:00,121.5782785008,0.75495702,0.5526285386399999,59.89800000000001,732.0
2020-01-03 13:00:00,139.19866952836813,0.7306165346000001,0.632721225128946,67.98454000000001,866.01
2020-01-03 14:00:00,129.49163011398812,0.7394358346000001,0.588598318699946,65.05454,796.01
2020-01-03 15:00:00,106.98610659566413,0.7658154746,0.48630048452574604,56.29054,635.01
2020-01-03 16:00:00,71.0485469012,0.8053564599999999,0.32294794045999997,43.154,401.0
2020-01-03 17:00:00,40.541567879999995,0.8376356999999999,0.18427985399999997,32.43,220.0
2020-01-03 18:00:00,0.0,,0.0,19.15,0.0
2020-01-03 19:00:00,0.0,,0.0,17.37,0.0
2020-01-03 20:00:00,0.0,,0.0,16.24,0.0
2020-01-03 21:00:00,0.0,,0.0,15.19,0.0
2020-01-03 22:00:00,0.0,,0.0,14.04,0.0
